Issue ID,Subject,Project,Subtasks,Subtasks ID,Stage
11087,514759 доработка ZAA_kontrol,NIS Сербия SAP23006_NPS_01  ,,,
11086,"На экранной форме ""Подбор ТМЦ для перезаказа"" отображаются не все ТМЦ",SAP22030_NOKT_02 Нокиан  вторая очередь,,,
11085,"Скрыть системные поля в карточке ""Физического лица""  (на основании запроса IM10511070)", =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03,,,
11084,"Добавить фильтры в картотеки модуля ""Автотранспорт""", =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03,,,
11083,ТУРБО БИ - настройка функционала,Белгородская индейка,,,
11082,ТУРБО Фудтех - Система не пускает в договоры,Белгородская индейка,,,
11081,Разработать пакетник на заполнение поля ЦФО в карточках, =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03,,,
11080,"CR 14 (469224,487598,492085,452801,572209)",NIS Сербия SAP23006_NPS_01  ,,,
11079,Ошибки в карточке плана закупок подразделения,ФК Зенит,,,
11078,"Ошибка ""Рассчетный счет < РасчСчет > не распознан"" при загрузки банковской выписки",ФК Зенит,,,
11077,"Не отображаются поля ""Балансодержатель"", ""Пользователь"" и ""Описание"".", =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03,,,
11076,SD 572717 Удаление данных из печатной формы по БЕ 1530 и 1540,NIS Сербия SAP23006_NPS_01  ,,,
11075,ТУРБО БИ - ошибка при формировании ветеринарного запроса,Белгородская индейка,,,
11074,"Добавить фильтрацию для модуля ""Обслуживание и ремонт оборудования"" в соответствии с данными в карточке пользователя", =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03,Разработать пакетник на заполнение поля ЦФО в карточках,11081,
11073,"CR 15 SD626969 Создание и расчёт общих соглашений о скидках в транзакциях VBO1, ZVBO1_W",NIS Сербия SAP23006_NPS_01  ,,,
11072,Инцидент 792022,NIS Сербия SAP23006_NPS_01  ,,,
11071,"На вэб-клиенте при переходе на вкладку ""Документы"" в карточке ""Договор"" появляется уведомление об ошибке", =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03,,,
11070,"Ошибка при открытии справочников ""Журнал ДТП"" и ""Журнал учета ГСМ"" ", =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03,,,
11069,Создание нумератора для форм первички,Белгородская индейка,,,
11068,Налоговый мониторинг - разработка Режима по закрытию периода формирования налоговой отчетности,SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,,,
11067,Настройка выгрузки в XML файл для загрузки в 1С,Белгородская индейка,,,
11066,"Изменить способ ввода значения для характеристики ЕО с признаком ""Да/Нет""", =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03,,,
11065,"В карточке ""Объекта обслуживания"" не отображается наименование кнопок", =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03,,,
11064,Не работает панель фильтра в картотеках , =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03,,,
11063, 689202 Опекс октябрь. Изменение  тр. FB02,NIS Сербия SAP23006_NPS_01  ,,,
11062,Ошибки в ZISU_SELL_BOOK_2013 - Книга продаж 2013 09.23,SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,,,
11061,Ошибки ZISU_SELL_BOOK_ADD13 - Доп лист книги продаж 2013 в 09.23,SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,,,
11060,СМ 	7000416075 (2000110242) Поиск соглашения по номеру судебного дела,SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,,,
11059,"Запретить выбор группы в поле ""Подразделение"" в карточке ""Договора""", =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03,,,
11058,Консолидированный план закупок,ФК Зенит,,,
11057,Доработка алгоритма выбора вложений при согласовании карточки через эл. почту по заявке 2000109929 (7000414903) ,SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,,,
11056,CR726645 (CAPEX) Расширение Z_PRINTMNG для БЕ1430,NIS Сербия SAP23006_NPS_01  ,,,
11055,"Некорректная работа ползунка в подтаблицах на вкладке ""Документы"" в карточки ""Объекта имущества""", =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03,,,
11054,"Ошибка на вкладке ""Договоры"" в карточке ОИ (декстоп версия)", =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03,,,
11053,СМ 7000416023 (2000110229) ZISU_PRED_ZACH_AV_RP - Предв. зачет авансов - руч. проводки ошибка ,SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,,,
11052,Расширение аналитики в проводках,Белгородская индейка,,,
11051,"SH-334 Добавление проверок при создании ПУЛ (АРМ Планирования, ZPM_WBM)",РусАгро - ЗНИ,,,
11050,SH-334 АРМ Планирования (бэк),РусАгро - ЗНИ,,,
11049,CR6 539327 / SD : Доработка нового ценового условия на основе уже существующего,NIS Сербия SAP23006_NPS_01  ,,,
11048,Справочник Перечень утверждающих органов,ФК Зенит,,,
11047,Справочник Статусы плана закупок,ФК Зенит,,,
11046,Разработка класса и формы для Плана подразделений (плана закупок) ,ФК Зенит,,,
11045,СМ 7000415732 (2000110168) Дата выгрузки чеков ФЛ в ZISU_CHECKS_REPORT - Отчет по чекам ФЛ ,SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,,,
11044,ТУРБО БИ - Разработка нового функционала автоматического заполнения поля ,Белгородская индейка,,,
11043,ТУРБО БИ - Разработка функционала Отгрузка ТМЦ для мобильного приложения,Белгородская индейка,,,
11042,"Исправить вывод значения ""Год выпуска"" в карточке ""Автотранспорт"" на вэб-клиенте", =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03,,,
11041,"CR 705769: интеграция с Maximo, отчёт для проверки результата интеграции",NIS Сербия SAP23006_NPS_01  ,,,
11040,"Добавить проверку дат в карточке ""Приемки""",=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х,,,
11039,РА-ТЗ-ЛОГ-170_SHLOG-277_MM_АРМ Доработка функционала ,РусАгро - ЗНИ,,,
11038,"Требуется добавить проверку на включение ""Заявки на обслуживание"" в ""Годовой план работ""", =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03,,,
11037,"SHLOG-277.АРМ ВЕСОВЩИК (ЗПП-28, реализация вывода ошибок перевеса)",РусАгро - ЗНИ,,,
11036,ТУРБО Фудтех - Доработка форм и отчетов,Белгородская индейка,,,
11035,ТУРБО БИ - функционал автоматического подбора Сырья,Белгородская индейка,,,
11034,ТУРБО БИ - доработка в документе Резервирования,Белгородская индейка,,,
11033,CR 580358,NIS Сербия SAP23006_NPS_01  ,,,
11032,Доработка ФМ получения и распределения оплат в соглашения,SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,,,
11031, SH-334 Оценка АРМ Планирования фронт,РусАгро - ЗНИ,,,
11030,отчет Взаиморасчеты с покупателями,Белгородская индейка,,,
11029,SH-334 Оценка АРМ Планирования бэк,РусАгро - ЗНИ,,,
11028,ТУРБО БИ - срыть информацию о документе Сборки,Белгородская индейка,,,
11027,Ошибка при создании заявки на оплату из карточки договора,ФК Зенит,,,
11026,"Доработка карточки ""Сотрудник""",Белгородская индейка,,,
11025,OPTIS-157 и OPTIS-247,SAP22030_NOKT_02 Нокиан  вторая очередь,OPTIS-157 и OPTIS-247 Новые изменения ,11166,
11024,"CR10 (646478, 640071, 624520) Улучшение XML (тр. Z_PRINTMNG)",NIS Сербия SAP23006_NPS_01  ,,,
11023,В договоре продаж пересчитать долг,Белгородская индейка,,,
11022,"ТУРБО Фудтех - Разработка отчета ""Реализация продукции и Анализ ГП""",Белгородская индейка,,,
11021,"Турбо Фудтех - Доработка карточки ""Отгрузка ТМЦ"" ",Белгородская индейка,,,
11020,В отчетах по заявкам на обслуживание и по приемках работ добавить нумерацию заявок/приемок,=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х,,,
11019,"Закрыть от обычных пользователей справочники Операции, Технологические карты, Тарифы и нормы, Классификатор",=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х,,,
11018,В документе эксплуатации для контрагента поле Договор сделать обязательным,=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х,,,
11017,"Принцип установки ""замка"" в карточках ""Путевой лист""", =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03,,,
11016,Инцидент 768599.,NIS Сербия SAP23006_NPS_01  ,,,
11015,СМ 7000414391 (2000109785) Отражение остатков по неустойке в карточке иска,SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,,,
11014,"ТУРБО Фудтех - Разработка отчета ""Остатки на складе""",Белгородская индейка,,,
11013,Оценка трудоемкости_725824,NIS Сербия SAP23006_NPS_01  ,,,
11012,МР v.1.4.1.7 (OPTIS-412) Ошибки при переходе с десктопа на мобилку,SAP22030_NOKT_02 Нокиан  вторая очередь,,,
11011,CR 609123 / SD : Реализовать замену полей в формах V.2.0,NIS Сербия SAP23006_NPS_01  ,,,
11010,Скрыть документ Оплаты из УЦП (Получение оплаты от покупателя),Белгородская индейка,,,
11009,"Турбо Фудтех - Доработка карточки ""Перемещение ТМЦ""",Белгородская индейка,,,
11008,СМ 	7000414513 (2000109814) ZISU_CHECKS_REPORT пропали чеки,SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,,,
11007,МР v1.4.1.7. (OPTIS-418) Проблемы с отображением перечня ТМЦ при поиске,SAP22030_NOKT_02 Нокиан  вторая очередь,,,
11006,"ТУРБО Фудтех - Разработка отчета ""Ведомость по товарам на складе""",Белгородская индейка,,,
11005,МР v1.4.1.7. (OPTIS-413) Пропадает склад после некорректного закрытия приложения,SAP22030_NOKT_02 Нокиан  вторая очередь,,,
11004,МР V1.4.1.7 Ошибки в работе (родительская задача),SAP22030_NOKT_02 Нокиан  вторая очередь,"МР v1.4.1.7. (OPTIS-413) Пропадает склад после некорректного закрытия приложения, МР v1.4.1.7. (OPTIS-418) Проблемы с отображением перечня ТМЦ при поиске, МР v.1.4.1.7 (OPTIS-412) Ошибки при переходе с десктопа на мобилку","11005, 11007, 11012",
11003,Доработка формирования данных в расчетно-платежных документах по заявке 2000109737 (7000414231),SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,,,
11002,СМ 7000414081 (2000109686),SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,,,
11001,ТУРБО БИ - ошибка Наименования продукции,Белгородская индейка,,,
11000,"ТУРБО Фудтех - Некорректное построение отчета ""ОСВ по ТМЦ""",Белгородская индейка,,,
10999,ТУРБО Фудтех - Ошибка при создании договора продажи,Белгородская индейка,,,
10998,РА-ТЗ-ЛОГ-170_SHLOG-277_MM_АРМ Весовщика Автоматическое разбиение документа при перегрузе транспортного средства,РусАгро - ЗНИ,,,
10997,ТУРБО БИ - ошибка в документе Сделки,Белгородская индейка,,,
10996,"СМ (2000109652) ZISU_BANK_MSK - 8.24 «Проверка разноски банковской выписки за день» -  поле ""Номер договора для исков, неустоек, штрафов"" для Соглашений",SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,,,
10995,МР Инвентаризация ТМЦ. Не работает инвентаризация при ручном вводе,SAP22030_NOKT_02 Нокиан  вторая очередь,,,
10994,CR 696454 Добавить Завод в документы формируемые транзакцией ZINT_PRICEB ,NIS Сербия SAP23006_NPS_01  ,,,
10993,"Учет времени для синхронизации часов СУРВ - Редмайн: созвоны, изучение материала и т.д",Белгородская индейка,,,
10992,Формирование фискального чека из документа Эквайринговая операция ,Белгородская индейка,,,
10991,Изменить алгоритм заполнения поля ТМ при создании связанного ОО,=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х,,,
10990,CR11 651230 Obezbeđenje XML formata za slanje kamatnih obračuna iz SAP-a u SEF.,NIS Сербия SAP23006_NPS_01  ,,,
10989,Изменения на форме Приемки работ,=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х,,,
10988,Проводки по документам Отгрузки и оплат,Белгородская индейка,,,
10987,Формирование фискального чека из Отгрузки ТМЦ,Белгородская индейка,,,
10986,Привязка документов к счету,Белгородская индейка,,,
10985,"Доработка карточки ""Юридическое лицо""",Белгородская индейка,,,
10984,"Некорректная работа сканера в приложении ""Перемещение ТМЦ""",SAP22030_NOKT_02 Нокиан  вторая очередь,,,
10983,Изменения на форме Объекта обслуживания,=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х,,,
10982,OPTIS-256 и OPTIS-331 Некорректная работа фильтров на большом количество РЗ,SAP22030_NOKT_02 Нокиан  вторая очередь,,,
10981,Добавить название отчета при выгрузке в файл (Универсальный отчет по ОН),=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х,,,
10980,В отчетах по заявкам и по приемкам добавить заголовок для табличной группировки,=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х,,,
10979,ZISU_SELL_BOOK_ADD13 - Доп лист книги продаж 2013 - перенос с ошибкой 6202-6201.А разные ККС,SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,,,
10978,SH-333 Доработка импорт-функции GetTekhnologia,РусАгро - ЗНИ,,,
10977,685127,NIS Сербия SAP23006_NPS_01  ,,,
10976,CR723339 Оценка. Внесение изменений в Название материала в XML (Z_PRINTMNG),NIS Сербия SAP23006_NPS_01  ,,,
10975,CR6 539327 / SD : Разработка нового ценового условия на основе уже существующего,NIS Сербия SAP23006_NPS_01  ,,,
10974,SHLOG-203 Корректировка IDoc ZRFIDEQUI (поле MATNR) при создании\изменении единиц оборудования.,РусАгро - ЗНИ,,,
10973,Инцидент ( реквест) 780496. transport errors on SBX143 for CR270,NIS Сербия SAP23006_NPS_01  ,,,
10972,ZISU_SELL_BOOK_2013 - Книга продаж 2013 в 08.23 - переносы с признаком ошибка с авансов  (C6201.А/C6202),SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,,,
10971,Ошибка в выводе счета Дт по ККС  8056932  в 0823 в Окне расчетов ,SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,,,
10970,"Ошибка при открытии формы ""Банковские выписки"" в модуле ""Казначейство""",ФК Зенит,,,
10969,CR no 18 (726660),NIS Сербия SAP23006_NPS_01  ,,,
10968,OPTIS-401,SAP22030_NOKT_02 Нокиан  вторая очередь,,,
10967,SHLOG-240 доработка трех отчетов,РусАгро - Тех.поддержка,,,
10966,"CR no.13 (657205,651498) Automation of importing VAT records to SEF",NIS Сербия SAP23006_NPS_01  ,,,
10965,Нельзя создать кассу,ФК Зенит,,,
10964,"ТУРБО Фудтех - Доработка карточки ""Склад""",Белгородская индейка,,,
10963,Изменение выбора предприятия в карточке ЦФО,ФК Зенит,,,
10962,CR 717556 - Оценка. Необходимо реализовать выгрузку данных из таблиц SAP в шаблон Excel,NIS Сербия SAP23006_NPS_01  ,,,
10961,ТУРБО Фудтех - Доработка справочника ВСД,Белгородская индейка,,,
10960,ТУРБО Фудтех - Доработки мобильного приложения (на основании задач №10860 и #10899),Белгородская индейка,,,
10959,ТУРБО Фудтех - Доработка форм и документов ТУРБО,Белгородская индейка,,,
10958,"Доработка формы ""Лимиты бюджета""  в модуле ""Бюджетный контроль""",ФК Зенит,,,
10957,"Доработка вкладки ""Бюджетный контроль"" записей справочника ""Наши предприятия""",ФК Зенит,,,
10956,"Доработка справочника ""Проекты""",ФК Зенит,,,
10955,Восстановление работоспособности мобильного приложения после обновления по Пакету 3,SAP22030_NOKT_02 Нокиан  вторая очередь,,,
10954,OPTIS-239,SAP22030_NOKT_02 Нокиан  вторая очередь,OPTIS-446,11121,
10953,Изменение срока оплаты после отмены выравнивания,SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,,,
10952,"При открытии справочника ""Материалы"" из карточки ОИ ТУРБО встает", =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03,,,
10951,"Эквайринг. Создание документа ""Эквайринговая операция""",Белгородская индейка,,,
10950,Оценка. CRM 734715,NIS Сербия SAP23006_NPS_01  ,,,
10949,SHLOG-286 Медленная работа силосной доски.,РусАгро - ЗНИ,,,
10948,Ошибка в окне расчетов по ККС 7057185 в 08.23,SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,,,
10947,ЗНИ SHFIN-355 Внесение изменений в карточку выдачи СИЗ,РусАгро - Тех.поддержка,,,
10946,ТУРБО Фудтех - ошибка в документе Приема из производства ,Белгородская индейка,,,
10945,"ZISU_SALDO_FL - Бухгалтерская справка ФЛ 08.023, в Сальдо проводки не участвуют ",SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,,,
10944,Доработка записей справочника Мероприятие,ФК Зенит,,,
10943,RQ 758229 - корректировка/дополнение по проекту «Модель учета мониторинга договоров лизинга в соответствии с МСФО16».,NIS Сербия SAP23006_NPS_01  ,,,
10942,SD 757087 Замена счёта банка в выходных и электронных формах,NIS Сербия SAP23006_NPS_01  ,,,
10941,"Эквайринг (Договоры эквайринга, Эквайринговые терминалы)",Белгородская индейка,,,
10940,"ТУРБО Фудтех - Доработка карточки ""Списание ТМЦ"" ",Белгородская индейка,,,
10939,"ТУРБО Фудтех - Доработка карточки ""Передача в производство""",Белгородская индейка,,,
10938,"Исправить функционал подбора ""Заявок на работы"" и ""Приемок"" по договору на вкладке ""Связанные заявки и приемки""", =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03,,,
10937,Оценка ЗНИ 575114,NIS Сербия SAP23006_NPS_01  ,,,
10936,ТУРБО Фудтех - Ошибка при формировании возврата от покупателя,Белгородская индейка,,,
10935,РА-ТЗ-ЛОГ-170_SHLOG-277_MM_АРМ Весовщика Автоматическое разбиение документа при перегрузе транспортного средства,РусАгро - ЗНИ,,,
10934,OPTIS-305,SAP22030_NOKT_02 Нокиан  вторая очередь,,,
